,station_from,station_to,duration
0,Acton Town (District),Acton Town (Piccadilly),2.0
1,Aldgate (Circle),Aldgate (Metropolitan),4.0
2,Aldgate East (District),Aldgate East (Hammersmith & City),2.0
3,Baker Street (Bakerloo),Baker Street (Circle),8.0
4,Baker Street (Bakerloo),Baker Street (Hammersmith & City),8.0
5,Baker Street (Bakerloo),Baker Street (Jubilee),2.0
6,Baker Street (Bakerloo),Baker Street (Metropolitan),3.0
7,Baker Street (Circle),Baker Street (Hammersmith & City),2.0
8,Baker Street (Circle),Baker Street (Jubilee),8.0
9,Baker Street (Circle),Baker Street (Metropolitan),8.0
10,Baker Street (Hammersmith & City),Baker Street (Jubilee),8.0
11,Baker Street (Hammersmith & City),Baker Street (Metropolitan),5.0
12,Baker Street (Jubilee),Baker Street (Metropolitan),3.0
13,Bank (Central),Bank (Circle),7.0
14,Bank (Central),Bank (District),7.0
15,Bank (Central),Bank (Northern),4.0
16,Bank (Central),Bank (Waterloo & City),4.5
17,Bank (Circle),Bank (Northern),4.0
18,Bank (Circle),Bank (Waterloo & City),10.0
19,Bank (District),Bank (Northern),4.0
20,Bank (District),Bank (Waterloo & City),10.0
21,Bank (Northern),Bank (Waterloo & City),7.0
22,Barbican (Circle),Barbican (Hammersmith & City),2.0
23,Barbican (Circle),Barbican (Metropolitan),2.0
24,Barbican (Hammersmith & City),Barbican (Metropolitan),2.0
25,Barking (District),Barking (Hammersmith & City),4.0
26,Barons Court (District),Barons Court (Piccadilly),4.0
27,Bayswater (Circle),Bayswater (District),4.0
28,Bond Street (Central),Bond Street (Jubilee),4.0
29,Bow Road (District),Bow Road (Hammersmith & City),2.0
30,Bromley By Bow (District),Bromley By Bow (Hammersmith & City),4.0
31,Cannon Street (Circle),Cannon Street (District),3.0
32,Charing Cross (Bakerloo),Charing Cross (Northern),7.0
33,Ealing Broadway (Central),Ealing Broadway (District),4.0
34,Ealing Common (District),Ealing Common (Piccadilly),4.0
35,Earls Court (District),Earls Court (Piccadilly),3.0
36,Eastcote (Metropolitan),Eastcote (Piccadilly),4.0
37,East Ham (District),East Ham (Hammersmith & City),4.0
38,Edgware Road (District),Edgware Road (Hammersmith & City),4.0
39,Edgware Road (District),Edgware Road (Circle),4.0
40,Edgware Road (Hammersmith & City),Edgware Road (Circle),4.0
41,Embankment (Bakerloo),Embankment (Circle),5.0
42,Embankment (Bakerloo),Embankment (District),5.0
43,Embankment (Bakerloo),Embankment (Northern),5.0
44,Embankment (Circle),Embankment (District),4.0
45,Embankment (Circle),Embankment (Northern),5.0
46,Embankment (District),Embankment (Northern),5.0
47,Euston (Northern),Euston (Victoria),5.0
48,Euston Square (Metropolitan),Euston Square (Hammersmith & City),2.0
49,Euston Square (Metropolitan),Euston Square (Circle),2.0
50,Euston Square (Hammersmith & City),Euston Square (Circle),2.0
51,Farringdon (Metropolitan),Farringdon (Hammersmith & City),4.0
52,Farringdon (Metropolitan),Farringdon (Circle),4.0
53,Farringdon (Hammersmith & City),Farringdon (Circle),4.0
54,Finchley Road (Jubilee),Finchley Road (Metropolitan),3.0
55,Finsbury Park (Piccadilly),Finsbury Park (Victoria),4.0
56,Gloucester Road (Circle),Gloucester Road (District),4.0
57,Gloucester Road (Circle),Gloucester Road (Piccadilly),7.0
58,Gloucester Road (District),Gloucester Road (Piccadilly),7.0
59,Great Portland Street (Metropolitan),Great Portland Street (Hammersmith & City),4.0
60,Great Portland Street (Metropolitan),Great Portland Street (Circle),4.0
61,Great Portland Street (Hammersmith & City),Great Portland Street (Circle),4.0
62,Green Park (Jubilee),Green Park (Piccadilly),5.5
63,Green Park (Jubilee),Green Park (Victoria),4.5
64,Green Park (Piccadilly),Green Park (Victoria),4.0
65,Hammersmith (District),Hammersmith (Piccadilly),4.0
66,High Street Kensington (Circle),High Street Kensington (District),4.0
67,Hillingdon (Metropolitan),Hillingdon (Piccadilly),4.0
68,Holborn (Central),Holborn (Piccadilly),6.0
69,Ickenham (Metropolitan),Ickenham (Piccadilly),4.0
70,Kings Cross St Pancras (Circle),Kings Cross St Pancras (Hammersmith & City),2.0
71,Kings Cross St Pancras (Circle),Kings Cross St Pancras (Metropolitan),2.0
72,Kings Cross St Pancras (Circle),Kings Cross St Pancras (Northern),7.5
73,Kings Cross St Pancras (Circle),Kings Cross St Pancras (Piccadilly),5.0
74,Kings Cross St Pancras (Circle),Kings Cross St Pancras (Victoria),5.0
75,Kings Cross St Pancras (Hammersmith & City),Kings Cross St Pancras (Metropolitan),2.0
76,Kings Cross St Pancras (Hammersmith & City),Kings Cross St Pancras (Northern),7.5
77,Kings Cross St Pancras (Hammersmith & City),Kings Cross St Pancras (Piccadilly),5.0
78,Kings Cross St Pancras (Hammersmith & City),Kings Cross St Pancras (Victoria),5.0
79,Kings Cross St Pancras (Metropolitan),Kings Cross St Pancras (Northern),7.5
80,Kings Cross St Pancras (Metropolitan),Kings Cross St Pancras (Piccadilly),5.0
81,Kings Cross St Pancras (Metropolitan),Kings Cross St Pancras (Victoria),5.0
82,Kings Cross St Pancras (Northern),Kings Cross St Pancras (Piccadilly),2.5
83,Kings Cross St Pancras (Northern),Kings Cross St Pancras (Victoria),4.5
84,Kings Cross St Pancras (Piccadilly),Kings Cross St Pancras (Victoria),2.0
85,Ladbroke Grove (Circle),Ladbroke Grove (Hammersmith & City),4.0
86,Latimer Road (Circle),Latimer Road (Hammersmith & City),4.0
87,Leicester Square (Northern),Leicester Square (Piccadilly),4.0
88,Liverpool Street (Central),Liverpool Street (Circle),6.0
89,Liverpool Street (Central),Liverpool Street (Hammersmith & City),6.0
90,Liverpool Street (Central),Liverpool Street (Metropolitan),6.0
91,Liverpool Street (Circle),Liverpool Street (Hammersmith & City),4.0
92,Liverpool Street (Circle),Liverpool Street (Metropolitan),4.0
93,Liverpool Street (Hammersmith & City),Liverpool Street (Metropolitan),4.0
94,London Bridge (Jubilee),London Bridge (Northern),6.0
95,Mansion House (Circle),Mansion House (District),4.0
96,Mile End (Central),Mile End (District),3.0
97,Mile End (Central),Mile End (Hammersmith & City),3.0
98,Mile End (District),Mile End (Hammersmith & City),3.0
99,Monument (Central),Monument (Circle),7.0
100,Monument (Central),Monument (District),7.0
101,Monument (Central),Monument (Northern),4.0
102,Monument (Central),Monument (Waterloo & City),4.5
103,Monument (Circle),Monument (District),4.0
104,Monument (Circle),Monument (Northern),4.0
105,Monument (Circle),Monument (Waterloo & City),10.0
106,Monument (District),Monument (Northern),4.0
107,Monument (District),Monument (Waterloo & City),10.0
108,Monument (Northern),Monument (Waterloo & City),7.0
109,Moorgate (Circle),Moorgate (Hammersmith & City),4.0
110,Moorgate (Circle),Moorgate (Metropolitan),4.0
111,Moorgate (Circle),Moorgate (Northern),7.0
112,Moorgate (Hammersmith & City),Moorgate (Metropolitan),4.0
113,Moorgate (Hammersmith & City),Moorgate (Northern),7.0
114,Moorgate (Metropolitan),Moorgate (Northern),7.0
115,Notting Hill Gate (Central),Notting Hill Gate (Circle),4.0
116,Notting Hill Gate (Central),Notting Hill Gate (District),4.0
117,Notting Hill Gate (Circle),Notting Hill Gate (District),4.0
118,Oxford Circus (Bakerloo),Oxford Circus (Central),4.0
119,Oxford Circus (Bakerloo),Oxford Circus (Victoria),4.0
120,Oxford Circus (Central),Oxford Circus (Victoria),4.0
121,Paddington (Bakerloo),Paddington (Circle),7.0
122,Paddington (Bakerloo),Paddington (District),7.0
